reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
d49949da-d9a7-400c-93c1-a73b4e491686,Agoez Ahmad,https://play-lh.googleusercontent.com/a-/ALV-UjUKzS_SC1C7l3vS9IEeoBn_MJHTbU7GBaQ6BvTf-l_tcd1__-rs,Mantap dan Ok Banget ❤️👍🫰,5,0,,2024-08-09 14:28:37,,,
e9c9d00e-55a4-41c8-a257-387afea1bb55,Kurnia Wandi,https://play-lh.googleusercontent.com/a/ACg8ocL2Z39apzU1PnByJyQeH3DNP6kgF2ik4Oz7pzVl4D0VQLPTvg=mo,Praktis dan cepat,5,0,1.28.0,2024-08-09 14:27:33,,,1.28.0
f793671b-e5b3-4a38-837a-8da3faf43278,Irwan Saputra,https://play-lh.googleusercontent.com/a/ACg8ocKRkBTOJp3OBW1Fwp7k34uv_Bk6rR8iOsS3ETPr7KZ6uLjxGg=mo,Lebih canggih dan aman,5,0,1.27.0,2024-08-09 14:27:01,,,1.27.0
4d0a7c51-afa8-4671-ae27-cd4e37913539,Idris Copler,https://play-lh.googleusercontent.com/a-/ALV-UjWGi-4TO9mwty9DKhZFU6IKtRNqai1sJ0fFLM6J0ZDlATGe3dnn,Makjoss,5,0,1.28.0,2024-08-09 14:26:24,,,1.28.0
b25d5649-5f8e-42fe-bd72-f003dddf366b,Ade Rusrika,https://play-lh.googleusercontent.com/a/ACg8ocL1z3Ep3hsp-6fIl78tsFfmk1qi456Rc_7uDq9lby5Tg-r5UL4=mo,Mantap gopay,5,0,1.28.0,2024-08-09 14:24:18,,,1.28.0
58fd78c1-1a2f-4b27-bf58-c49d68d1a822,Wahyu,https://play-lh.googleusercontent.com/a/ACg8ocLq2KDnkZeb7wGlm5a-Y1bnhWLblL-HU4PlPmBj2MzgPKUBoQ=mo,"Ini emang peraturanya apa gimana?, aku pakai gopaylater pembayaran telat 2 hari karna gaji belum turun, tapi di telfonin terus setiap 1 jam dan itu tiap hari padahal di peraturanya tertera telat bayar ada biaya denda udh di dendan di telfonin terus kayak di teror orang rasanya sampai di marahin boss saya ganggu banget padahal kan ada denda keterlambatan",1,0,,2024-08-09 14:22:45,"Hai Kak Wahyu, mohon maaf atas kendala yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-24-222-1444-29847 di subjek email, ya. ^Tria",2024-08-09 14:44:40,
410c4403-2595-4162-9fb2-95fd5d722de9,terlanjur tampans,https://play-lh.googleusercontent.com/a/ACg8ocKq-jwl3XUR-rF7DBtRvnLVbExdCx82Ov82LTBUlEJ5GOJ3fA=mo,Gopay selalu aman,5,0,1.27.0,2024-08-09 14:16:29,,,1.27.0
6fd397e1-2342-4dfe-bdf0-6eceeead9a32,Mastiawan Saputra,https://play-lh.googleusercontent.com/a/ACg8ocLTKnk7KlLreuSJ7uhGP_oJ9wRfbMxv8a7l_tL3OgRa6IfqCt8=mo,saya suka denggan gopay cepat dan sangat memuaskan,5,0,1.26.1,2024-08-09 14:11:21,,,1.26.1
38ff49af-55f0-4fbd-8a32-5b3b7d17adf8,Lirik Favorit,https://play-lh.googleusercontent.com/a-/ALV-UjUhWpJ0_C4k-XY6VJv-VqimZq_CF-TT2eFCLM1UWIrlVOeGaMY,Paylater tiba tiba gk bisa di pakai,1,0,,2024-08-09 14:06:03,"Hai Kak @Lirik Favorit, mohon maaf atas kendala yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-24-222-1442-39335 di subjek email, ya. ^Tria",2024-08-09 14:42:46,
ce9e05e1-58ca-4d9e-bffb-732cf6881535,Azka Pralesmana,https://play-lh.googleusercontent.com/a/ACg8ocJxLdGcLdu075WNJu8aIx6Jo_J11XIZmdbnl4gU9FLjItGlsQ=mo,Mantap,5,0,1.21.0,2024-08-09 14:04:58,,,1.21.0
82141e27-d7bf-43a8-ba8e-6bb7956a5ba0,Maulidul Nazry,https://play-lh.googleusercontent.com/a-/ALV-UjX2PjfToYsgweQOMOfPKSaJ6-dJLtP2EETZH2OGlzBv7WmtlKQ,Selalu memberikan layanan terbaik,5,0,1.28.0,2024-08-09 14:02:17,,,1.28.0
9a2fcc76-df6b-4570-bd4f-992257a737e9,Roni Dato sampono,https://play-lh.googleusercontent.com/a/ACg8ocLvd8yZS2uoZBgWlMKK2xnI7fuwNbFM_5nz6m3dgwFUfLUN3w=mo,Kecewa saya kata nya saldo gopay nya d gabung d saldo tabungan eh malah gk bisa d trasper gk sinkron gopay utama sama gopay tabungan malah uang nya gk bisa d trasperun gimana sih jadi ribet ada gpaya tabungan perasaan kecewa banget,1,0,1.28.0,2024-08-09 13:59:27,"Hai Kak Roni, mohon maaf atas ketidaknyamanannya. Mengenai kendala tersebut, silakan laporkan melalui email ke customerservice@gopay.co.id dan cantumkan kode psr-24-222-1424-22543 pada subjek email. Kami tunggu detail permasalahannya. ^Tria",2024-08-09 14:25:10,1.28.0
e9f4fd46-64e2-4ec1-a0f6-843ab113e986,Jenal Mutakin,https://play-lh.googleusercontent.com/a/ACg8ocJy20ZKBw0b9fTMnfC7-J57X7iZEujJqYOXfuRfXnmEj-FJeQ=mo,Oke Gopay sangat praktis.,5,0,1.28.0,2024-08-09 13:57:41,,,1.28.0
9d12944a-f7e6-4814-a0ef-15edb9e20686,Rizmal Edi,https://play-lh.googleusercontent.com/a-/ALV-UjVWwcYi6riidxVB5dgLxkJ5lsMGp5H1JHXdOoBMmvLfMVNR_HA,Bagus,5,0,1.28.0,2024-08-09 13:54:52,,,1.28.0
d7386298-944b-4e6a-9dcc-f89eae614e30,Muslimin Dhory tjahjono,https://play-lh.googleusercontent.com/a/ACg8ocILN8nWLTNhtsQnIq7hihrFe4gZ33cnfH8eqBzahZm4SOprjQ=mo,"ok, selama ini lancar",4,0,1.27.0,2024-08-09 13:53:09,,,1.27.0
1da145e5-e6da-436e-802e-8774c5108257,Ibnu Azir,https://play-lh.googleusercontent.com/a/ACg8ocKaFbQJpmlzflw1K6L49DYH6IDGGsKTUzrKAeht6XxH1-mmgA=mo,Tolong jaga keamanan gopay,5,0,,2024-08-09 13:51:18,,,
491a58a7-1e97-41fc-b162-1461023db82e,Jefri Gunawan,https://play-lh.googleusercontent.com/a/ACg8ocIcUvAsUm90YfTBz7SBwCuXaPt-T5PH1EJM0zIrBV3lFfEXqg=mo,Sangat membantu,5,0,1.27.0,2024-08-09 13:46:28,,,1.27.0
ac5e4f8b-4512-4bed-9eb6-2168b3984cf6,Asep Naufal,https://play-lh.googleusercontent.com/a-/ALV-UjXZppY8YhavwTfIfei2KbdnkYUdy1SPWTZRGF7Kt2MFlMroLtc,I like it 👍👍👍 thanks,5,0,1.28.0,2024-08-09 13:44:53,,,1.28.0
c15ea018-ac2b-45fb-b29e-9357ab2aa6d1,Bewang Jaya,https://play-lh.googleusercontent.com/a-/ALV-UjXgK3h84wLaBBBvsGo9xJ3gz_23xA4t360suUhYZGiamfLaDDCa,Sangat membantu,5,0,1.27.0,2024-08-09 13:42:17,,,1.27.0
21a8c0bb-556d-4a1f-b6fe-692bd330c1b4,Fajar Abrianto,https://play-lh.googleusercontent.com/a-/ALV-UjV9cuzMRFvz2BGJ5niN5HSBTJyblxga3CzvXbdy2O3s-_d97qEV,"Aman, Nyaman dan Profesional, Terima Kasih Banyak GoPay",5,0,1.28.0,2024-08-09 13:41:02,,,1.28.0
68068e2f-567f-4bf3-9c72-cac819bf678b,Gontang Pangestu,https://play-lh.googleusercontent.com/a/ACg8ocJqXtlD9cX11sjrqLWdqF5GZJUBr9pTgEkgwD9Axe9x-ZIeNg=mo,Ya lebih baik dari yg lainya,5,0,,2024-08-09 13:34:51,,,
50507d07-2c8d-452b-abb4-00078647c2f2,Agung 01,https://play-lh.googleusercontent.com/a-/ALV-UjV3Kv5kAvOOGr_EtckSPfP8uSU-LAB5v6vqubYgj0rCoXjS3viu,Sangat mudah,5,0,1.27.0,2024-08-09 13:32:49,,,1.27.0
ebc2d763-6a0b-4d34-9426-fb1150cdabdc,Muhammad Sanwani,https://play-lh.googleusercontent.com/a/ACg8ocIYNnWg2Ur_hWXw9ocT2pnYJ-pfYADKz37yZBIPe_oJkiPYdA=mo,Mempermudah di semua layanan,5,0,,2024-08-09 13:32:14,,,
f4ff214c-cf21-4bfa-8709-51b396f48682,Ratih Hasanah,https://play-lh.googleusercontent.com/a/ACg8ocLcgoKLL04jviNC90464oub8P4dlwv-CdxP7NX2_v2PJwT4KQ=mo,biar bintang berbicara,5,0,1.27.0,2024-08-09 13:26:58,,,1.27.0
20314dd8-0eb7-4108-b05e-31b29b060066,Ahyaniardiansyah Ardiansyah,https://play-lh.googleusercontent.com/a/ACg8ocItLxqz4EeW1IXNsdQNfdIxEpiRKflr93DxCNgpeEfZpzdgsw=mo,Tidak di acc jadi males pakenya juga,1,0,1.27.0,2024-08-09 13:26:48,,,1.27.0
6b672d9f-0032-4c34-a00b-77f378ce2d9c,Sang Kuriang,https://play-lh.googleusercontent.com/a/ACg8ocIzrBsuijmnReea1c_2rffCW3KxnXlGloEpUt6Z0K5l-QoFpw=mo,"Sangat membantu dalam bertransaksi,,, Gopay mantapp !!",5,0,1.27.0,2024-08-09 13:26:01,,,1.27.0
2cafdfd6-4cd8-4b52-8d73-ca74c2bd3bef,Imam Hakim,https://play-lh.googleusercontent.com/a-/ALV-UjVvE02WHPznYvHo96StGGtbhmFpLY5Bv9e9nGfFc6MPXjZpp2k,Mantul,5,0,1.27.0,2024-08-09 13:21:23,,,1.27.0
6b062387-80ff-48cc-a15e-99d17b49959f,Dedi Putra wansyah,https://play-lh.googleusercontent.com/a/ACg8ocIEk0wzzEvfgyUuAj2lB1TLdY6iN1DN78UeEmnrOJ5GKXHMKw=mo,Sangat simple dan cepat responnya,5,0,1.28.0,2024-08-09 13:16:04,,,1.28.0
86834b62-7bf4-49df-add2-b0e5b7dcbb41,Vivi Lie,https://play-lh.googleusercontent.com/a-/ALV-UjWVJhnoIO0fZYEk3GsN8n4_qbMXa_qeLTigSJESKMr9Mq55vYVc,Pelayanan bagus,5,0,,2024-08-09 13:11:23,,,
